,album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
359,The Last Rocket,1,1339014,1339014.0,75.0,album,2018-11-02,day,False,12,31,58.0,72,0,0,0.0,181,True,True,True,False,True,True,True,False,False,True
360,Stay Flexing,1,1639209,1639209.0,0.0,compilation,2016-12-06,day,False,11,31,0.0,0,11,80,2.727272727272727,0,False,False,False,False,False,False,False,False,False,False
361,Mediterranean,3,24890881,8296960.333333333,76.66666666666667,single,2017-12-08,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
362,NOT ALL HEROES WEAR CAPES (Deluxe),2,15057966,7528983.0,85.0,album,2018-11-06,day,False,26,74,50.49999999999999,80,19,96,5.052631578947368,181,True,True,True,False,True,True,True,False,False,True
363,Spotify Singles,1,12681863,12681863.0,77.0,single,2017,year,False,2,5,30.5,34,1,32,32.0,183,True,True,True,False,True,True,True,False,False,True
364,Guala,2,5415329,2707664.5,65.0,single,2017-03-28,day,False,1,5,0.0,0,1,39,39.0,0,False,False,False,False,False,False,False,False,False,False
365,On the Run,1,7586076,7586076.0,82.0,single,2018-09-24,day,False,6,20,49.833333333333336,61,5,83,16.6,183,True,True,True,False,True,True,True,False,False,True
366,QUAVO HUNCHO,1,6034081,6034081.0,80.0,album,2018-10-12,day,False,19,56,47.89473684210526,66,12,96,6.75,181,True,True,True,False,True,True,True,False,False,True
367,Black Panther The Album Music From And Inspired By,2,30569534,15284767.0,85.0,album,2018-02-09,day,False,14,42,60.785714285714285,82,23,93,4.043478260869565,178,True,True,True,False,True,True,True,False,False,True
368,Die A Legend,1,8561756,8561756.0,82.0,album,2019-06-07,day,False,14,35,61.14285714285714,77,3,89,27.666666666666668,183,True,True,True,False,True,True,True,False,False,True
369,TA13OO,1,1973893,1973893.0,71.0,album,2018-07-27,day,False,13,36,52.92307692307693,64,6,77,11.0,181,True,True,True,False,True,True,True,False,False,True
370,Nasty Freestyle,1,159238,159238.0,47.0,single,2015-05-04,day,False,1,2,61.0,61,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
371,Shotta Flow (Feat. Blueface) [Remix],1,5283205,5283205.0,76.0,single,2019-06-20,day,False,1,2,70.0,70,1,66,66.0,183,True,True,True,False,True,True,True,False,False,True
372,Choppa,1,13690,13690.0,31.0,single,2019-06-17,day,False,1,2,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
373,Houdini,1,19249,19249.0,36.0,single,2018-09-23,day,False,1,2,14.0,14,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
374,Uno,1,41411,41411.0,39.0,single,2019-05-10,day,False,1,1,55.0,55,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
375,Solitaire (feat. Migos & Lil Yachty),3,25661966,8553988.666666668,76.66666666666667,single,2018-03-01,day,False,1,2,42.0,42,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
376,Lil Boat 2,1,8455678,8455678.0,77.0,album,2018-03-09,day,False,17,36,47.35294117647059,72,13,89,6.230769230769231,181,True,True,True,False,True,True,True,False,False,True
377,Love & Drugz II,2,8166814,4083407.0,64.0,single,2018-07-20,day,False,1,3,41.0,41,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
378,!,1,8072324,8072324.0,81.0,album,2019-08-09,day,False,14,33,0.0,0,5,89,12.4,0,False,False,False,False,False,False,False,False,False,False
379,Harverd Dropout,1,7929411,7929411.0,65.0,album,2019-02-22,day,False,16,33,38.625,50,8,90,9.375,183,True,True,True,False,True,True,True,False,False,True
380,Esskeetit,1,7929411,7929411.0,65.0,single,2018-04-13,day,False,1,3,55.0,55,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
381,Shelby,1,4852369,4852369.0,69.0,album,2019-03-01,day,False,14,35,49.5,69,3,83,27.666666666666668,183,True,True,True,False,True,True,True,False,False,True
382,Harder Than Ever,1,12028254,12028254.0,89.0,album,2018-05-18,day,False,17,44,55.82352941176471,82,9,96,5.666666666666667,181,True,True,True,False,True,True,True,False,False,True
383,Back On My Baby Jesus Sh!t,1,10223329,10223329.0,81.0,album,2017-11-20,day,False,12,18,35.5,53,1,67,67.0,178,True,True,True,False,True,True,True,False,False,True
384,Blank Blank,1,10223329,10223329.0,81.0,album,2018-11-02,day,False,10,20,47.0,64,1,57,57.0,183,True,True,True,False,True,True,True,False,False,True
385,Baby Talk 5,1,10223329,10223329.0,81.0,album,2018-06-01,day,False,10,22,37.7,56,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
386,Quality Control: Control The Streets Volume 1,1,1096079,1096079.0,66.0,album,2017-12-08,day,False,30,89,43.63333333333333,62,53,89,0.8867924528301887,181,True,True,True,False,True,True,True,False,False,True
387,Pull The Trigger,1,4584044,4584044.0,75.0,single,2016-08-23,day,False,1,2,55.0,55,0,0,0.0,171,True,True,True,False,True,True,False,False,False,True
388,Northsbest (Extended),1,4827395,4827395.0,70.0,album,2018-10-19,day,False,12,25,53.583333333333336,74,1,59,59.0,178,True,True,True,False,True,True,True,False,False,True
389,Tribe,1,348341,348341.0,51.0,single,2019-07-26,day,False,1,3,25.0,25,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
390,BAWSKEE 3.5,1,2073912,2073912.0,64.0,album,2019-07-26,day,False,12,15,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
391,Floor Seats,1,3390534,3390534.0,70.0,single,2019-07-18,day,False,1,2,43.0,43,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
392,Magic,1,4852369,4852369.0,69.0,single,2019-07-24,day,False,1,3,64.0,64,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
393,DeMar DeRozan,1,2073912,2073912.0,64.0,single,2018-12-14,day,False,1,1,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
394,Northsbest,1,4827395,4827395.0,70.0,album,2018-10-19,day,False,11,23,0.0,0,1,59,59.0,0,False,False,False,False,False,False,False,False,False,False
395,Die Young,1,8543816,8543816.0,79.0,single,2018-07-20,day,False,1,2,50.0,50,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
396,Kickback (feat. Lil Mosey),1,14957,14957.0,37.0,single,2018-06-20,day,False,1,2,34.0,34,1,70,70.0,183,True,True,True,False,True,True,True,False,False,True
397,Baby,3,23347662,7782554.0,78.66666666666667,single,2019-07-17,day,False,1,2,60.0,60,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
398,World Rage,1,4852369,4852369.0,69.0,single,2018-06-22,day,False,1,2,51.0,51,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
399,Life on Fire (jazmyns song),1,510897,510897.0,56.0,single,2019-03-15,day,False,1,2,25.0,25,0,0,0.0,173,True,True,True,False,True,True,True,False,False,True
400,Octane Sex,1,510897,510897.0,56.0,single,2019-07-12,day,False,1,2,28.0,28,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
401,On Me,3,17137833,5712611.0,75.0,single,2017-09-29,day,False,1,3,46.0,46,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
402,Pretty Girls Like Trap Music,1,7466283,7466283.0,75.0,album,2017-06-16,day,False,16,55,46.5,68,12,96,5.083333333333333,178,True,True,True,False,True,True,True,False,False,True
403,A$AP Forever (feat. Moby),1,11475745,11475745.0,80.0,single,2018-04-05,day,False,1,3,63.0,63,1,67,67.0,183,True,True,True,False,True,True,True,False,False,True
404,Gnar Lif3,1,510897,510897.0,56.0,album,2018-09-28,day,False,11,17,0.0,0,5,69,13.2,0,False,False,False,False,False,False,False,False,False,False
405,More Life,1,68545753,68545753.0,96.0,album,2017-03-18,day,False,22,71,64.5909090909091,82,12,90,6.833333333333333,183,True,True,True,False,True,True,True,False,False,True
406,Future & Juice WRLD Present... WRLD ON DRUGS,2,38714652,19357326.0,87.0,album,2018-10-19,day,False,16,42,59.0,72,6,85,14.166666666666666,183,True,True,True,False,True,True,True,False,False,True
407,Boss Up,1,777831,777831.0,58.0,single,2018-03-09,day,False,1,3,31.0,31,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
408,7 EP,1,12015830,12015830.0,81.0,single,2019-06-21,day,False,8,14,62.25,77,3,80,26.666666666666668,183,True,True,True,False,True,True,True,False,False,True
409,Neighbor (feat. Travis Scott),1,2925806,2925806.0,73.0,single,2018-09-26,day,False,1,2,54.0,54,1,87,87.0,183,True,True,True,False,True,True,True,False,False,True
410,Billion Dollar Baby,1,10223329,10223329.0,81.0,album,2017-06-16,day,False,11,28,22.818181818181817,25,2,46,23.0,178,True,True,True,False,True,True,True,False,False,True
411,Pop Star,1,4852369,4852369.0,69.0,single,2018-03-05,day,False,1,2,45.0,45,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
412,Holy Ghost,1,3400359,3400359.0,62.0,single,2017-04-03,day,False,1,3,37.0,37,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
413,i am > i was (Deluxe),1,11964059,11964059.0,91.0,album,2018-12-24,day,False,16,46,48.0,61,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
414,Under Enemy Arms,1,8072324,8072324.0,81.0,single,2019-05-29,day,False,1,2,48.0,48,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
415,Lady Lady,1,1059520,1059520.0,67.0,album,2018-09-07,day,False,14,44,43.85714285714285,74,5,67,13.4,183,True,True,True,False,True,True,True,False,False,True
416,Blue Pill,1,3093907,3093907.0,79.0,single,2017-10-06,day,False,1,3,47.0,47,1,87,87.0,178,True,True,True,False,True,True,True,False,False,True
417,Take Care (Deluxe),1,68545753,68545753.0,96.0,album,2011-11-15,day,False,19,74,65.36842105263158,76,10,93,8.4,183,True,True,True,False,True,True,True,False,False,True
418,Ransom,1,5553751,5553751.0,76.0,single,2019-06-04,day,False,1,2,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
419,SremmLife 2 (Deluxe),1,6967978,6967978.0,71.0,album,2016-08-12,day,False,14,49,45.785714285714285,75,5,81,3.0,183,True,True,True,False,True,True,True,False,False,True
420,The World Is Yours,1,2909479,2909479.0,66.0,album,2018-03-30,day,False,15,43,44.33333333333334,70,12,87,6.416666666666667,178,True,True,True,False,True,True,True,False,False,True
421,Last Memory,1,1339014,1339014.0,75.0,single,2018-10-26,day,False,1,2,51.0,51,0,0,0.0,178,True,True,True,False,True,True,True,False,False,True
422,Stillmatic,1,3023692,3023692.0,71.0,album,2001-12-18,day,False,14,49,41.35714285714286,54,5,55,4.4,183,True,True,True,False,True,True,True,False,False,True
423,534,1,344396,344396.0,49.0,album,2005-01-01,day,False,14,43,25.5,58,7,88,0.4285714285714285,183,True,True,True,False,True,True,True,False,False,True
424,Thank Me Later,1,68545753,68545753.0,96.0,album,2010-01-01,day,False,14,53,55.07142857142858,68,8,85,10.5,3,True,True,False,False,False,False,False,False,False,True
425,Eve-Olution,1,1146754,1146754.0,66.0,album,2002-01-01,day,False,16,46,21.9375,60,9,82,3.555555555555556,179,True,True,True,False,True,True,True,False,False,True
426,4:21...The Day After,1,1778079,1778079.0,70.0,album,2006-01-01,day,False,20,52,26.65,58,14,67,0.8571428571428571,183,True,True,True,False,True,True,True,False,False,True
427,King Gampo,1,126226,126226.0,53.0,album,2011-08-16,day,False,16,54,28.3125,41,2,46,8.0,174,True,True,True,False,True,True,True,False,False,True
428,Graduation,1,18613723,18613723.0,90.0,album,2007-09-11,day,False,14,48,71.07142857142858,84,8,84,5.125,183,True,True,True,False,True,True,True,False,False,True
429,Intuition,1,1027522,1027522.0,67.0,album,2008-12-11,day,False,15,55,30.333333333333336,64,7,90,2.0,179,True,True,True,False,True,True,True,False,False,True
430,Can't Believe It Remix (feat. Justin Timberlake),1,4051712,4051712.0,75.0,single,2008-12-05,day,False,1,5,36.0,36,1,78,78.0,182,True,True,True,False,True,True,True,False,False,True
431,The Undisputed Truth,1,205222,205222.0,46.0,album,2007-04-10,day,False,15,55,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
432,Cats & Dogs,1,87115,87115.0,43.0,album,2011-09-27,day,False,17,52,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
433,Mura Masa,1,625616,625616.0,63.0,album,2017-07-14,day,False,13,39,43.30769230769231,73,11,80,4.2727272727272725,183,True,True,True,False,True,True,True,False,False,True
434,Ventura,1,2249447,2249447.0,77.0,album,2019-04-12,day,False,11,34,52.36363636363636,63,7,75,10.714285714285714,183,True,True,True,False,True,True,True,False,False,True
435,Cosmic Wind,1,203589,203589.0,47.0,album,2019-03-29,day,False,15,48,15.533333333333337,27,3,67,20.33333333333333,0,False,False,False,False,False,False,False,False,False,False
436,The Divine Feminine,1,8158416,8158416.0,82.0,album,2016-09-16,day,False,10,49,64.7,76,7,87,12.428571428571429,183,True,True,True,False,True,True,True,False,False,True
437,The Stimulus Package,1,893,893.0,0.0,album,2010-02-15,day,False,15,47,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
438,Collected,1,54212,54212.0,45.0,album,2007-07-17,day,False,11,34,17.27272727272727,41,1,59,59.0,30,True,True,False,False,True,True,False,False,False,False
439,The Marshall Mathers LP,1,61300484,61300484.0,90.0,album,2000-05-23,day,False,18,64,57.1111111111111,87,11,82,5.818181818181818,183,True,True,True,False,True,True,True,False,False,True
440,Hell: The Sequel (Deluxe),1,1514786,1514786.0,60.0,album,2011-01-01,day,False,11,40,53.090909090909086,70,3,86,15.0,182,True,True,True,False,True,True,True,False,False,True
441,Together/Apart,1,127163,127163.0,45.0,album,2011-06-21,day,False,16,50,0.0,0,2,46,0.0,0,False,False,False,False,False,False,False,False,False,False
442,A Brand You Can Trust,1,147463,147463.0,42.0,album,2009-07-14,day,False,15,51,0.0,0,8,82,5.25,0,False,False,False,False,False,False,False,False,False,False
443,Get Rich Or Die Tryin',1,9616884,9616884.0,82.0,album,2003-02-06,day,False,20,67,57.6,82,7,90,11.714285714285714,178,False,False,True,False,True,True,True,False,False,True
444,Tha Carter III,1,12776886,12776886.0,84.0,album,2008-01-01,day,False,23,95,38.1304347826087,67,12,82,5.416666666666667,158,False,False,True,False,True,True,False,False,False,True
445,Stankonia,1,2074000,2074000.0,73.0,album,2000-10-31,day,False,24,63,35.166666666666664,81,16,64,3.375,183,True,True,True,False,True,True,True,False,False,True
446,The Don Killuminati: The 7 Day Theory,1,2154200,2154200.0,57.0,album,1996-11-05,day,False,12,53,52.333333333333336,69,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
447,Late Registration,1,18613723,18613723.0,90.0,album,2005-01-01,day,False,22,62,38.72727272727272,65,17,82,1.9411764705882355,2,False,False,False,False,False,False,False,False,False,False
448,Lupe Fiasco's Food & Liquor,1,1798021,1798021.0,65.0,album,2006-06-27,day,False,16,64,37.8125,61,8,82,6.25,150,True,True,True,False,True,True,True,False,False,True
449,Come Home With Me,1,625676,625676.0,58.0,album,2003-01-01,day,False,7,29,15.857142857142858,57,10,82,6.2,1,True,False,False,False,False,False,False,False,False,False
450,The Red Light District,1,2469255,2469255.0,74.0,album,2004-01-01,day,False,16,57,37.375,59,11,75,3.1818181818181817,183,True,True,True,False,True,True,True,False,False,True
451,Intl Singles Box Set (International Version),1,61300484,61300484.0,90.0,single,2003-01-01,day,False,35,135,0.0,0,13,82,6.0,0,False,False,False,False,False,False,False,False,False,False
452,Tha Carter IV (Explicit Version),1,12776886,12776886.0,84.0,album,2011-01-01,day,False,15,54,40.33333333333333,62,12,96,5.75,179,False,True,True,False,True,True,True,False,False,False
453,Born Sinner (Deluxe Version),1,18276353,18276353.0,84.0,album,2013-06-18,day,False,21,68,56.76190476190476,81,9,87,8.444444444444445,183,True,True,True,False,True,True,True,False,False,True
454,Attention Deficit,1,3838468,3838468.0,69.0,album,2009-01-01,day,False,14,47,28.571428571428573,48,11,84,7.636363636363637,123,True,True,True,False,True,True,False,False,False,True
455,I GOT ISSUES,1,2960627,2960627.0,74.0,album,2022-09-30,day,False,14,42,54.92857142857144,69,11,87,6.454545454545454,182,True,True,True,False,True,True,True,False,False,True
456,Lasers,1,1798021,1798021.0,65.0,album,2011-03-04,day,False,12,42,40.75,70,9,76,8.444444444444445,156,True,True,True,False,True,True,True,False,False,False
457,Devils Night,1,2552276,2552276.0,64.0,album,2001-01-01,day,False,19,65,42.0,68,1,44,44.0,183,True,True,True,False,True,True,True,False,False,True
458,Pain Is Love,1,1514528,1514528.0,67.0,album,2001-01-01,day,False,16,57,31.1875,73,15,78,5.2,89,True,True,True,False,True,True,True,False,False,True
459,My Krazy Life,1,2960627,2960627.0,74.0,album,2014-03-18,day,False,14,41,44.285714285714285,68,13,96,6.153846153846154,183,True,True,True,False,True,True,True,False,False,True
460,Word Of Mouf,1,2469255,2469255.0,74.0,album,2001-01-01,day,False,18,70,38.72222222222222,62,20,75,1.15,166,True,True,True,False,True,True,False,False,False,True
461,Speakerboxxx/The Love Below,1,2074000,2074000.0,73.0,album,2003,year,False,40,113,38.2,80,18,82,3.9444444444444446,183,True,True,True,False,True,True,True,False,False,True
462,Encore (Deluxe Version),1,61300484,61300484.0,90.0,album,2004-11-12,day,False,23,79,55.08695652173913,88,6,82,10.666666666666666,183,True,True,True,False,True,True,True,False,False,True
463,Encore,1,61300484,61300484.0,90.0,album,2004-11-12,day,False,20,69,38.14999999999999,63,6,82,10.666666666666666,183,True,True,True,False,True,True,True,False,False,True
464,True Story,1,179340,179340.0,50.0,album,2004-01-01,day,False,12,39,23.33333333333333,65,27,66,2.4444444444444446,69,True,True,True,False,False,True,False,False,False,True
465,Duets: The Final Chapter,1,8202385,8202385.0,76.0,album,2005-12-13,day,False,22,62,39.409090909090914,69,39,90,1.871794871794872,176,True,True,True,False,True,True,True,False,False,True
466,Welcome Back,1,690407,690407.0,63.0,album,2005-04-20,day,False,12,44,30.58333333333333,54,3,71,5.666666666666667,183,True,True,True,False,True,True,True,False,False,True
467,Curtis,1,9616884,9616884.0,82.0,album,2007-01-01,day,False,17,47,43.47058823529412,67,9,90,5.888888888888889,163,False,False,True,False,True,True,False,False,False,True
468,Mann's World,1,20776,20776.0,46.0,album,2011-01-01,day,False,10,27,13.6,51,7,82,11.142857142857142,2,False,False,False,False,False,False,False,False,False,False
469,Relapse: Refill,1,61300484,61300484.0,90.0,album,2009-05-15,day,False,29,105,50.3103448275862,73,7,96,11.142857142857142,183,True,True,True,False,True,True,True,False,False,True
470,Asleep In The Bread Aisle,1,248366,248366.0,48.0,album,2009-01-01,day,False,12,42,27.25,60,6,69,7.166666666666667,136,True,True,True,False,True,True,True,False,False,True
471,Before I Self-Destruct,1,9616884,9616884.0,82.0,album,2009-01-01,day,False,18,55,37.44444444444444,60,3,90,21.666666666666668,183,True,True,True,False,True,True,True,False,False,True
472,Detroit Deli (A Taste Of Detroit),1,277458,277458.0,53.0,album,2004-01-01,day,False,13,39,27.15384615384616,60,12,90,4.833333333333333,182,True,True,True,False,True,True,True,False,False,True
473,Big Boi & Dre Present...OutKast,1,2074000,2074000.0,73.0,compilation,2001-10-04,day,False,16,64,28.0625,52,2,61,22.5,183,True,True,True,False,True,True,True,False,False,True
474,Love Is Only a Feeling,1,2787059,2787059.0,73.0,single,2017-07-06,day,False,1,2,79.0,79,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
475,Some Rap Songs,1,1881919,1881919.0,67.0,album,2018-11-30,day,False,15,16,48.93333333333332,65,4,47,5.75,183,True,True,True,False,True,True,True,False,False,True
476,Launch Party,1,3424,3424.0,33.0,single,2020-12-13,day,False,5,12,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
477,Amen,1,2087246,2087246.0,70.0,album,2018-02-02,day,False,14,34,45.42857142857143,60,4,85,13.25,180,True,True,True,False,True,True,True,False,False,True
478,Album of the Year (Freestyle),1,18276353,18276353.0,84.0,single,2018-08-07,day,False,1,2,59.0,59,0,0,0.0,181,True,True,True,False,True,True,True,False,False,True
479,Stay Trippy (Deluxe),1,2925806,2925806.0,73.0,album,2013-12-06,day,False,19,64,34.473684210526315,55,18,93,5.166666666666667,182,True,True,True,False,True,True,True,False,False,True
480,Keep Your Distance,1,113597,113597.0,43.0,single,2020-10-15,day,False,1,1,57.0,57,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
